,Name,CameraQuality,Processor,Size,BatteryLife,Warranty
0,"Google Pixel 6a (Chalk, 128 GB)",12.2MP + 12MP | 8MP Front Camera,Google Tensor Processor,15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,1 Year Brand Warranty
1,"Google Pixel 6a (Charcoal, 128 GB)",12.2MP + 12MP | 8MP Front Camera,Google Tensor Processor,15.6 cm (6.14 inch) Full HD+ Display,4410 mAh Battery,1 Year Brand Warranty
2,"Google Pixel 7a (Sea, 128 GB)",64MP (OIS) + 13MP | 13MP Front Camera,Tensor G2 Processor,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,1 Year Domestic Warranty
3,"Google Pixel 7a (Snow, 128 GB)",64MP (OIS) + 13MP | 13MP Front Camera,Tensor G2 Processor,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,1 Year Domestic Warranty
4,"Google Pixel 7a (Charcoal, 128 GB)",64MP (OIS) + 13MP | 13MP Front Camera,Tensor G2 Processor,15.49 cm (6.1 inch) Full HD+ Display,4300 mAh Battery,1 Year Domestic Warranty
5,"Google Pixel 7 (Snow, 128 GB)",50MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,1 Year Domestic Warranty
6,"Google Pixel 7 (Obsidian, 128 GB)",50MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,1 Year Domestic Warranty
7,"Google Pixel 7 (Lemongrass, 128 GB)",50MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,16.0 cm (6.3 inch) Full HD+ Display,4270 mAh Battery,1 Year Domestic Warranty
8,"Google Pixel 7 Pro (Obsidian, 128 GB)",50MP + 48MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,17.02 cm (6.7 inch) Quad HD+ Display,4926 mAh Battery,1 Year Domestic Warranty
9,"Google Pixel 7 Pro (Snow, 128 GB)",50MP + 48MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,17.02 cm (6.7 inch) Quad HD+ Display,4926 mAh Battery,1 Year Domestic Warranty
10,"Google Pixel 7 Pro (Hazel, 128 GB)",50MP + 48MP + 12MP | 10.8MP Front Camera,Google Tensor G2 Processor,17.02 cm (6.7 inch) Quad HD+ Display,4926 mAh Battery,1 Year Domestic Warranty
